fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221030 071340	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	443	1	1	1	0.1	50	0.5	FALSE	936659	0.148617870876444	0.583194791170664	0.619421360713825	11.4794405917167	3.2351191089428e-07	14175	15730000	33
20221030 072449	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	833	1	1	1	0.1	50	0.5	FALSE	936659	0.128790939061111	0.533174115088256	0.447025293458556	10.9539391546627	1.83890510953223e-07	13711	16498000	34
20221030 072659	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	282	1	1	1	0.1	50	0.5	FALSE	936659	0.277342825423576	0.834137028941279	0.84546260327663	5.2263438009033	0.01577010050518	14604	16872000	35
20221030 073004	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1524	1	1	1	0.1	50	0.5	FALSE	936659	0.217496695421495	0.643182475267723	0.175942955008138	3.0071310647768	0.0152973636448814	16283	12634000	36
20221030 073355	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	823	1	1	1	0.1	50	0.5	FALSE	936659	0.253757675903896	0.602665917802742	0.0804643568947795	3.95805304799834	0.0204730802115627	13333	15654000	37
20221030 073916	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	151	1	1	1	0.1	50	0.5	FALSE	936659	0.0469082341322512	0.580518852841901	0.368958236699097	10.6542348568169	0.0115763743229876	14368	16784000	38
20221030 075142	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1615	1	1	1	0.1	50	0.5	FALSE	936659	0.107596748803897	0.547566708230786	0.69927168343988	2.56242898552818	0.0157667643368744	17547	13146000	39
20221030 075713	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	498	1	1	1	0.1	50	0.5	FALSE	936659	0.162025225764519	0.554319636057923	0.325623738467414	6.72354822840285	0.0120592688511794	14672	16416000	40
20221030 080709	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1495	1	1	1	0.1	50	0.5	FALSE	936659	0.169136846970471	0.585898537154635	0.0665970746450825	4.65899712736835	0.0174737198109815	16000	13520000	41
20221030 080922	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	226	1	1	1	0.1	50	0.5	FALSE	936659	0.0960121694273606	0.879042037624167	0.80975113962969	6.05690430968255	0.0166653050874761	14829	17782000	42
20221030 081756	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4496	1	1	1	0.1	50	0.5	FALSE	936659	0.0123579327549378	0.707520116633316	0.264472034402436	2.75153295476059	0.0169660646688113	16351	11618000	43
